time,seconds_elapsed,z,y,x
1771750402161929700,0.1039296875,-0.051312681287527084,-0.192422553896904,0.01160643994808197
1771750402177890000,0.11989013671875,-0.02687807008624077,-0.15577064454555511,-0.05192354694008827
1771750402193850600,0.1358505859375,-0.014049900695681572,-0.09224065393209457,-0.05253441259264946
1771750402209780500,0.151780517578125,-0.02076941914856434,0,-0.01038470957428217
1771750402225740800,0.16774072265625,-0.022602014243602753,0.06108652427792549,0.033597588539123535
1771750402241701400,0.183701416015625,-0.02015855349600315,0.0959058403968811,0.0959058403968811
1771750402257661700,0.19966162109375,-0.022602014243602753,0.15821409225463867,0.1258382350206375
1771750402273622000,0.2156220703125,-0.012828170321881771,0.2174680233001709,0.10262536257505417
1771750402289552000,0.2315517578125,0.01038470957428217,0.24373523890972137,0.07269296050071716
1771750402305512400,0.247512451171875,0.05253441259264946,0.31093040108680725,0.06902777403593063
1771750402321442300,0.2634423828125,0.10690141469240189,0.44593164324760437,0.04764748737215996
1771750402337402600,0.279402587890625,0.18814650177955627,0.6798930168151855,-0.015882495790719986
1771750402353363200,0.29536328125,0.2791654169559479,0.9999864101409912,-0.04948008432984352
1771750402369293000,0.31129296875,0.4550946056842804,1.197906732559204,-0.2028072625398636
1771750402385253400,0.32725341796875,0.5424483418464661,1.4984524250030518,-0.08307767659425735
1771750402401183200,0.343183349609375,0.6719517707824707,1.3445143699645996,0.2938261926174164
1771750402417143800,0.359143798828125,0.6866125464439392,1.9523253440856934,0.3084869384765625
1771750402433104100,0.375104248046875,0.6737843751907349,1.1649199724197388,0.01160643994808197
1771750402449034000,0.391033935546875,0.7031059265136719,1.06351637840271,-0.06230825558304787
1771750402464994300,0.406994384765625,0.4453207552433014,0.6548475623130798,-0.09834930300712585
1771750402480924400,0.42292431640625,0.14905111491680145,-0.21624629199504852,0.1258382350206375
1771750402496884700,0.438884765625,-0.14416420459747314,-0.4392121136188507,0.6548475623130798
1771750402512875800,0.454875732421875,-0.22846360504627228,-0.39584067463874817,0.799011766910553
1771750402528775200,0.470775146484375,-0.15943582355976105,-0.5693264007568359,0.7312057018280029
1771750402544735500,0.486735595703125,-0.08124507963657379,-0.6212499737739563,0.6261368989944458
1771750402560695800,0.50269580078125,-0.12034045159816742,-0.29077184200286865,0.5167919993400574
1771750402576625700,0.518625732421875,0.033597588539123535,0.0507018156349659,0.42638394236564636
1771750402592616700,0.53461669921875,0.4153883755207062,0.06352998316287994,0.6401867866516113
1771750402608546600,0.550546630859375,0.6352998614311218,0,0.7568620443344116
1771750402624476400,0.566476318359375,0.8142833709716797,-0.030543262138962746,0.8460483551025391
1771750402640437000,0.58243701171875,0.7055493593215942,-0.06475171446800232,0.9254608750343323
1771750402656397300,0.598397216796875,0.3781255781650543,0.24495697021484375,0.826500654220581
1771750402672357600,0.614357666015625,-0.01038470957428217,0.6524040699005127,0.7250970602035522
1771750402688287500,0.63028759765625,-0.21319197118282318,0.8576548099517822,0.7867944240570068
1771750402704248000,0.646248046875,-0.11484266817569733,0.656680166721344,0.817337691783905
1771750402720178000,0.662177978515625,0.04459316283464432,0.38117989897727966,0.7287622094154358
1771750402736138200,0.67813818359375,0.1814269721508026,0.29077184200286865,0.618195652961731
1771750402752129300,0.69412939453125,0.31093040108680725,0.23579397797584534,0.5827654600143433
1771750402768059100,0.71005908203125,0.4184426963329315,0.2791654169559479,0.6768386960029602
1771750402783989000,0.725989013671875,0.4996877610683441,0.33292156457901,0.7507534027099609
1771750402799949600,0.741949462890625,0.5448917746543884,0.2938261926174164,0.7428121566772461
1771750402815910000,0.757909912109375,0.5387831330299377,0.26572638750076294,0.607810914516449
1771750402831900700,0.773900634765625,0.5296201705932617,0.2681698501110077,0.44593164324760437
1771750402847830800,0.789830810546875,0.5619960427284241,0.27000242471694946,0.2742784917354584
1771750402863760600,0.8057607421875,0.5943718552589417,0.2565633952617645,0.14905111491680145
1771750402879721000,0.821720947265625,0.5717698931694031,0.2822197377681732,0.11728613078594208
1771750402895681300,0.837681396484375,0.5925393104553223,0.23151792585849762,0.09468411654233932
1771750402911641900,0.853641845703125,0.5876523852348328,0.08429940044879913,0.07330382615327835
1771750402927571700,0.86957177734375,0.5656611919403076,0.02932153269648552,0.01466076634824276
1771750402943532000,0.885531982421875,0.4911356568336487,0.04214970022439957,-0.1368338167667389
1771750402959492600,0.90149267578125,0.36102136969566345,0.01038470957428217,-0.29993483424186707
1771750402975453000,0.917452880859375,0.251676470041275,-0.02015855349600315,-0.3689626157283783
1771750402991444000,0.93344384765625,0.16432274878025055,-0.03176499158143997,-0.40133845806121826
1771750403007373800,0.949373779296875,0.06230825558304787,-0.00733038317412138,-0.3891211748123169
1771750403023303700,0.9653037109375,0.03420845419168472,0.009162978269159794,-0.34086281061172485
1771750403039264000,0.981263916015625,0.039706241339445114,-0.024434609338641167,-0.3170390725135803
1771750403055224600,0.997224609375,0.05742133408784866,-0.04948008432984352,-0.3237585723400116
1771750403071215400,1.01321533203125,0.07024950534105301,-0.0659734457731247,-0.3225368559360504
1771750403087145200,1.029145263671875,0.05742133408784866,-0.015882495790719986,-0.3390302062034607
1771750403103075000,1.045074951171875,0.06108652427792549,0.07513642311096191,-0.3182607889175415
1771750403119035600,1.06103564453125,0.1258382350206375,0.08002334833145142,-0.29504790902137756
1771750403134996000,1.076995849609375,0.19853121042251587,0.009773843921720982,-0.26939156651496887
1771750403150987000,1.092987060546875,0.25473082065582275,0.021380282938480377,-0.22296582162380219
1771750403166916900,1.108916748046875,0.2877175211906433,0.031154127791523933,-0.1966986060142517
1771750403182877200,1.124877197265625,0.3066543638706207,0.031154127791523933,-0.17043140530586243
1771750403198807000,1.14080712890625,0.30970868468284607,0.06902777403593063,-0.1417207419872284
1771750403214767600,1.156767578125,0.3072652220726013,0.04214970022439957,-0.1472185254096985
1771750403230758400,1.17275830078125,0.27977627515792847,-0.025045474991202354,-0.14233160018920898
1771750403246688300,1.188688232421875,0.22602014243602753,-0.01038470957428217,-0.08307767659425735
1771750403262618400,1.204618408203125,0.18570303916931152,0.03176499158143997,-0.03726277872920036
1771750403278578700,1.22057861328125,0.16554448008537292,0.03726277872920036,0.007941247895359993
1771750403294539000,1.2365390625,0.152105450630188,0.00733038317412138,0.056810468435287476
1771750403310499600,1.25249951171875,0.12461651116609573,-0.005497787147760391,0.1160643994808197
1771750403326429400,1.268429443359375,0.09773843735456467,0.02687807008624077,0.15454891324043274
1771750403342389800,1.2843896484375,0.07391469180583954,0.031154127791523933,0.152105450630188
1771750403358319600,1.300319580078125,0.05192354694008827,0.0012217304902151227,0.13255776464939117
